,date,season,decades_bin,neutral,playoff,team,team_code,elo,elo_prob,score,result
142,1920-11-25,1920,1,0,0,CHT,10,1297.498,0.2729631054153987,0,0.0
143,1920-11-25,1920,1,0,0,CHI,6,1532.6789999999999,0.7270368945846013,6,1.0
145,1920-11-28,1920,1,0,0,RCH,3,1441.473,0.6223295947594512,7,1.0
146,1920-11-28,1920,1,0,0,RII,1,1496.08,0.8180061992144855,48,1.0
148,1920-11-28,1920,1,0,0,DHR,9,1439.9089999999999,0.7726417686351719,0,0.5
150,1920-11-28,1920,1,0,0,BFF,8,1549.69,0.7277172310961919,7,1.0
151,1920-11-28,1920,1,0,0,CTI,12,1443.9129999999998,0.2722827689038081,0,0.0
152,1920-11-28,1920,1,0,0,ARI,11,1532.273,0.5781219337540966,7,1.0
153,1920-11-28,1920,1,0,0,CHI,6,1542.54,0.4218780662459034,6,0.0
154,1920-11-28,1920,1,0,0,DAY,4,1571.78,0.5278869955505084,0,0.0
155,1920-11-28,1920,1,0,0,AKR,2,1617.382,0.47211300444949156,14,1.0
156,1920-11-28,1920,1,0,0,CHT,10,1287.638,0.565146176095177,27,1.0
158,1920-12-04,1920,1,0,0,BFF,8,1560.1979999999999,0.5974255035931052,7,1.0
159,1920-12-04,1920,1,0,0,CBD,7,1556.6229999999998,0.4025744964068948,3,0.0
160,1920-12-05,1920,1,0,0,BFF,8,1572.764,0.4878217339298069,0,0.5
161,1920-12-05,1920,1,0,0,AKR,2,1646.2279999999998,0.5121782660701931,0,0.5
162,1920-12-05,1920,1,0,0,DHR,9,1431.594,0.756149916544416,7,0.5
164,1920-12-05,1920,1,0,0,COL,5,1396.5970000000002,0.7171213585477898,24,1.0
167,1920-12-05,1920,1,0,0,RCH,3,1446.51,0.6358596706032826,0,0.5
168,1920-12-05,1920,1,0,0,ARI,11,1537.98,0.5940594649863562,0,0.0
169,1920-12-05,1920,1,0,0,CHI,6,1536.8329999999999,0.4059405350136438,10,1.0
171,1920-12-05,1920,1,0,0,CBD,7,1544.056,0.7370572402993549,0,0.5
173,1920-12-11,1920,1,0,0,CBD,7,1536.826,0.7289120880248292,7,0.0
174,1920-12-12,1920,1,0,0,CHI,6,1566.2060000000001,0.4789294414332902,0,0.5
175,1920-12-12,1920,1,0,0,AKR,2,1645.856,0.5210705585667098,0,0.5
177,1920-12-18,1920,1,0,0,CBD,7,1506.055,0.692530812084372,39,1.0
179,1920-12-19,1920,1,0,0,ARI,11,1508.6070000000002,0.6956500081038438,14,0.5
180,1921-09-25,1921,1,0,0,AKR,2,1598.476,0.7795702305735632,14,1.0
181,1921-09-25,1921,1,0,0,COL,5,1444.0420000000001,0.22042976942643677,0,0.0
