,Player,Play_Code,ActSceneLine_Code,PlayerLinenumber_Code,PlayerLine_Code,Player_Code
408,First Gentleman,14,233,12,646,151
409,BUCKINGHAM,14,210,31,90,51
410,NORFOLK,14,284,8,812,285
411,KING HENRY VIII,14,267,31,744,225
412,ANNE,14,331,10,541,14
413,Crier,14,369,4,328,101
414,CARDINAL WOLSEY,14,344,16,453,65
415,KING HENRY VIII,14,352,25,753,225
416,QUEEN KATHARINE,14,429,9,29,333
417,CARDINAL CAMPEIUS,14,401,26,961,63
418,NORFOLK,14,488,6,102,285
419,CARDINAL WOLSEY,14,459,42,20,65
420,KING HENRY VIII,14,477,61,715,225
421,CARDINAL WOLSEY,14,486,74,951,65
422,CARDINAL WOLSEY,14,496,92,751,65
423,CARDINAL WOLSEY,14,500,105,757,65
424,Second Gentleman,14,500,18,483,370
425,KATHARINE,14,684,1,659,217
426,KATHARINE,14,656,19,147,217
427,GARDINER,14,803,0,457,171
428,DENNY,14,859,27,129,104
429,KING HENRY VIII,14,817,44,551,225
430,GARDINER,14,922,11,599,171
431,NORFOLK,14,907,39,212,285
432,Porter,14,936,1,1096,326
433,KING HENRY VIII,14,965,2,683,225
434,CHATILLON,16,56,4,602,75
435,ROBERT,16,10,30,68,340
436,BASTARD,16,31,47,82,34
437,AUSTRIA,16,224,3,823,25
438,KING PHILIP,16,208,15,817,230
439,KING JOHN,16,229,50,313,226
440,French Herald,16,238,70,908,168
441,BASTARD,16,246,84,141,34
442,LEWIS,16,251,97,138,242
443,BASTARD,16,254,108,644,34
444,CONSTANCE,16,448,10,465,84
445,CONSTANCE,16,409,28,265,84
446,CARDINAL PANDULPH,16,422,52,170,64
447,BASTARD,16,525,3,873,34
448,CONSTANCE,16,558,7,99,84
449,CARDINAL PANDULPH,16,551,24,98,64
450,HUBERT,16,632,10,965,203
451,ARTHUR,16,609,34,695,21
452,SALISBURY,16,692,11,337,348
453,BASTARD,16,666,34,407,34
454,KING JOHN,16,673,51,824,226
455,HUBERT,16,732,29,544,203
456,KING JOHN,16,806,2,747,226
457,SALISBURY,16,879,1,884,348
458,BASTARD,16,864,7,87,34
459,MELUN,16,939,8,321,270
460,HUBERT,16,969,12,149,203
461,BASTARD,16,969,13,458,34
462,MARULLUS,15,50,14,722,268
463,CASSIUS,15,111,29,705,69
464,CASSIUS,15,78,37,163,69
465,CASSIUS,15,92,64,173,69
466,CASCA,15,140,3,820,66
467,CASCA,15,130,23,956,66
468,BRUTUS,15,245,6,286,50
469,BRUTUS,15,211,34,679,50
470,BRUTUS,15,232,57,320,50
471,LUCIUS,15,241,72,318,249
472,CAESAR,15,303,15,182,55
473,PORTIA,15,361,2,411,317
474,CAESAR,15,433,24,703,55
475,Servant,15,402,58,626,378
476,BRUTUS,15,416,73,588,50
477,BRUTUS,15,461,5,621,50
478,ANTONY,15,454,29,944,17
479,Fourth Citizen,15,475,60,561,166
480,Fourth Citizen,15,532,15,275,166
481,BRUTUS,15,672,8,490,50
482,CASSIUS,15,728,22,870,69
483,BRUTUS,15,701,62,556,50
484,CASSIUS,15,710,99,532,69
485,CLAUDIUS,15,716,128,454,78
486,CASSIUS,15,857,33,69,69
487,CASSIUS,15,925,11,186,69
488,BRUTUS,15,925,2,246,50
489,STRATO,15,963,27,710,367
490,LEAR,17,55,19,136,238
491,KENT,17,23,43,630,218
492,KING OF FRANCE,17,38,63,41,229
493,GLOUCESTER,17,87,1,460,174
494,GLOUCESTER,17,72,29,1046,174
495,GONERIL,17,141,6,846,176
496,KING LEAR,17,183,38,399,227
497,Fool,17,170,71,1092,165
498,ALBANY,17,175,89,579,9
499,KENT,17,175,1,246,218
500,GLOUCESTER,17,249,17,176,174
501,OSWALD,17,263,0,296,297
502,CORNWALL,17,309,43,742,89
503,EDGAR,17,314,0,568,127
504,Fool,17,368,26,721,165
505,KING LEAR,17,350,52,783,227
506,KING LEAR,17,354,77,164,227
507,KENT,17,421,6,592,218
508,KENT,17,505,9,887,218
509,KING LEAR,17,505,7,258,227
510,KENT,17,551,29,343,218
511,KENT,17,551,1,248,218
512,KENT,17,593,33,752,218
513,GLOUCESTER,17,598,31,423,174
514,GLOUCESTER,17,636,12,1038,174
515,ALBANY,17,679,7,56,9
516,Gentleman,17,709,7,662,185
517,REGAN,17,771,12,810,337
518,GLOUCESTER,17,787,22,59,174
519,KING LEAR,17,780,51,84,227
520,EDGAR,17,783,84,1072,127
521,CORDELIA,17,796,15,790,85
522,ALBANY,17,830,12,385,9
523,KING LEAR,17,917,4,716,227
524,EDMUND,17,905,29,696,128
525,EDMUND,17,915,57,731,128
526,EDMUND,17,923,86,699,128
527,FERDINAND,18,48,0,875,136
528,BIRON,18,10,23,840,42
529,BIRON,18,30,54,440,42
530,COSTARD,18,40,97,1051,90
531,ADRIANO DE ARMADO,18,121,44,578,3
532,COSTARD,18,121,89,244,90
533,ROSALINE,18,256,11,203,344
534,FERDINAND,18,220,49,501,136
535,BOYET,18,234,104,856,48
536,ADRIANO DE ARMADO,18,447,36,178,3
537,BIRON,18,408,74,48,42
538,PRINCESS,18,640,21,151,321
539,COSTARD,18,614,60,484,90
540,HOLOFERNES,18,694,24,503,199
541,BIRON,18,721,0,1071,42
542,DUMAIN,18,734,31,410,122
543,JAQUENETTA,18,703,43,293,210
544,BIRON,18,713,84,330,42
545,BIRON,18,718,96,280,42
546,ADRIANO DE ARMADO,18,855,36,974,3
547,ROSALINE,18,881,15,303,344
548,BOYET,18,865,43,819,48
549,ROSALINE,18,876,87,596,344
550,BOYET,18,884,129,210,48
551,DUMAIN,18,890,138,472,122
552,BIRON,18,893,140,476,42
553,SIR NATHANIEL,18,895,142,997,359
554,ADRIANO DE ARMADO,18,897,143,673,3
555,BIRON,18,901,144,604,42
556,ROSALINE,18,902,145,907,344
557,DUNCAN,35,85,0,108,123
558,First Witch,35,138,7,311,164
559,ANGUS,35,128,39,888,13
560,DUNCAN,35,179,6,431,123
561,LADY MACBETH,35,192,8,636,235
562,LADY MACBETH,35,200,5,667,235
563,MACBETH,35,247,15,373,256
564,MACBETH,35,302,23,480,256
565,MACDUFF,35,335,12,369,257
566,DONALBAIN,35,318,45,1091,112
567,BANQUO,35,443,0,912,30
568,MACBETH,35,394,21,38,256
569,LADY MACBETH,35,495,8,952,235
570,MACBETH,35,561,12,533,256
571,MACBETH,35,552,41,180,256
572,LENNOX,35,587,0,789,239
573,MACBETH,35,639,14,31,256
574,First Witch,35,612,41,595,164
575,Son,35,689,31,1016,381
576,MALCOLM,35,728,10,235,258
577,Doctor,35,702,23,745,124
578,MACDUFF,35,712,61,152,257
579,Gentlewoman,35,853,31,300,186
580,Doctor,35,930,15,508,124
581,MACBETH,35,959,10,360,256
582,MACBETH,35,971,6,53,256
583,DUKE VINCENTIO,19,42,6,701,121
584,LUCIO,19,98,17,998,248
585,LUCIO,19,73,71,14,248
586,DUKE VINCENTIO,19,154,6,902,121
587,LUCIO,19,183,25,115,248
588,ELBOW,19,257,25,992,130
589,ESCALUS,19,221,70,1065,132
590,ESCALUS,19,221,109,240,132
591,LUCIO,19,308,36,130,248
592,ISABELLA,19,279,68,120,209
593,ANGELO,19,347,0,349,12
594,ISABELLA,19,345,28,693,209
595,DUKE VINCENTIO,19,438,2,637,121
596,ISABELLA,19,395,28,436,209
597,DUKE VINCENTIO,19,411,58,1008,121
598,ELBOW,19,464,5,1084,130
599,LUCIO,19,455,42,1019,248
600,DUKE VINCENTIO,19,475,76,571,121
601,ISABELLA,19,627,6,910,209
602,POMPEY,19,677,13,608,316
603,Provost,19,661,43,969,329
604,POMPEY,19,731,0,1039,316
605,Provost,19,698,33,335,329
606,ANGELO,19,738,5,1044,12
607,ANGELO,19,836,10,514,12
608,ISABELLA,19,808,40,429,209
609,DUKE VINCENTIO,19,823,78,648,121
610,ESCALUS,19,835,103,774,132
611,DUKE VINCENTIO,19,842,121,680,121
612,DUKE VINCENTIO,19,843,131,739,121
613,SALARINO,20,46,3,931,347
614,BASSANIO,20,16,26,450,33
615,PORTIA,20,36,40,1060,317
616,SHYLOCK,20,161,6,762,352
617,SHYLOCK,20,126,32,642,352
618,PORTIA,20,222,1,62,317
619,GOBBO,20,301,13,497,175
620,BASSANIO,20,274,46,387,33
621,LORENZO,20,355,14,502,246
622,GRATIANO,20,381,4,924,180
623,MOROCCO,20,387,3,792,280
624,SALANIO,20,391,9,925,346
625,Servant,20,392,14,807,378
626,SHYLOCK,20,444,24,1049,352
627,PORTIA,20,502,8,803,317
628,PORTIA,20,466,13,806,317
629,PORTIA,20,480,35,923,317
630,SHYLOCK,20,523,4,415,352
631,PORTIA,20,565,10,444,317
632,LORENZO,20,581,22,239,246
633,SHYLOCK,20,646,16,843,352
634,PORTIA,20,617,43,181,317
635,ANTONIO,20,628,75,192,16
636,DUKE,20,634,102,386,117
637,PORTIA,20,654,0,442,317
638,LORENZO,20,851,22,162,246
639,NERISSA,20,813,49,855,283
640,BASSANIO,20,828,70,522,33
641,SIR HUGH EVANS,21,45,15,452,358
642,FALSTAFF,21,15,64,603,135
643,SIR HUGH EVANS,21,35,103,1075,358
644,FALSTAFF,21,142,15,841,135
645,MISTRESS QUICKLY,21,174,10,1017,278
646,MISTRESS QUICKLY,21,165,47,1062,278
647,MISTRESS FORD,21,255,11,1093,276
648,PAGE,21,218,51,310,301
649,MISTRESS QUICKLY,21,287,8,289,278
650,PISTOL,21,270,38,287,312
651,FORD,21,282,72,564,142
652,Host,21,328,15,1013,204
653,SIMPLE,21,424,7,1076,356
654,MISTRESS PAGE,21,457,6,134,277
655,ROBIN,21,529,11,517,341
656,MISTRESS FORD,21,520,46,325,276
657,SIR HUGH EVANS,21,530,89,1029,358
658,MISTRESS PAGE,21,567,40,772,277
659,FALSTAFF,21,580,33,1023,135
660,SIR HUGH EVANS,21,630,18,537,358
661,MISTRESS FORD,21,685,23,323,276
662,FORD,21,664,65,1087,142
663,SIR HUGH EVANS,21,742,7,1042,358
664,FALSTAFF,21,771,7,1035,135
665,MISTRESS QUICKLY,21,764,44,669,278
666,PAGE,21,882,0,1041,301
667,FALSTAFF,21,882,13,474,135
668,FALSTAFF,21,951,37,1026,135
669,THESEUS,1,7,0,552,387
670,EGEUS,1,68,17,80,129
671,HERMIA,1,28,36,366,195
672,BOTTOM,1,98,11,1037,46
673,Fairy,1,240,3,219,146
674,TITANIA,1,212,13,61,390
675,HELENA,1,231,30,274,191
676,HERMIA,1,293,6,473,195
677,LYSANDER,1,272,21,713,251
678,BOTTOM,1,442,28,9,46
679,TITANIA,1,406,55,788,390
680,HERMIA,1,504,9,863,195
681,HELENA,1,467,31,22,191
682,DEMETRIUS,1,481,52,391,103
683,HELENA,1,491,86,405,191
684,DEMETRIUS,1,498,101,877,103
685,OBERON,1,638,17,329,288
686,THESEUS,1,611,34,298,387
687,FLUTE,1,660,6,953,141
688,THESEUS,1,847,9,63,387
689,Prologue,1,810,27,119,328
690,THESEUS,1,825,69,1054,387
691,Thisbe,1,825,93,208,402
692,LEONATO,22,7,0,379,240
693,BENEDICK,22,8,44,1012,38
694,DON PEDRO,22,28,84,175,111
695,DON PEDRO,22,28,109,624,111
696,BORACHIO,22,28,22,226,44
697,ANTONIO,22,262,44,117,16
698,BENEDICK,22,225,86,1067,38
699,BEATRICE,22,235,112,413,35
700,BORACHIO,22,292,13,1014,44
701,DON PEDRO,22,340,20,306,111
702,CLAUDIO,22,321,64,46,77
703,HERO,22,415,2,449,197
704,BEATRICE,22,398,25,269,35
705,CLAUDIO,22,516,49,209,77
706,DOGBERRY,22,545,29,254,108
707,URSULA,22,559,1,408,404
708,DOGBERRY,22,571,6,1022,108
709,CLAUDIO,22,637,21,958,77
710,LEONATO,22,612,53,312,240
711,FRIAR FRANCIS,22,622,68,161,144
712,Sexton,22,687,5,171,379
713,LEONATO,22,819,1,45,240
714,ANTONIO,22,819,35,243,16
715,DON PEDRO,22,820,77,580,111
716,DOGBERRY,22,834,98,1064,108
717,BENEDICK,22,899,24,1021,38
718,CLAUDIO,22,945,17,414,77
719,BENEDICK,22,945,58,240,38
720,IAGO,23,66,18,100,206
721,BRABANTIO,23,27,44,380,49
722,BRABANTIO,23,120,26,400,49
723,Senator,23,158,25,200,377
724,OTHELLO,23,133,41,809,298
725,DESDEMONA,23,144,53,795,105
726,IAGO,23,151,77,1009,206
727,Third Gentleman,23,237,7,447,399
728,IAGO,23,209,35,55,206
729,IAGO,23,230,70,967,206
730,IAGO,23,239,84,396,206
731,IAGO,23,336,20,42,206
732,CASSIO,23,318,54,469,68
733,IAGO,23,327,70,106,206
734,IAGO,23,330,94,718,206
735,IAGO,23,432,19,598,206
736,DESDEMONA,23,542,24,166,105
737,IAGO,23,526,62,459,206
738,IAGO,23,533,87,572,206
739,EMILIA,23,536,110,420,131
740,IAGO,23,540,124,419,206
741,Clown,23,554,9,1053,98
742,OTHELLO,23,550,59,123,298
743,CASSIO,23,556,83,284,68
744,OTHELLO,23,643,31,13,298
745,BIANCA,23,616,66,1094,41
746,LODOVICO,23,625,117,491,243
747,OTHELLO,23,682,22,670,298
748,DESDEMONA,23,663,57,668,105
749,IAGO,23,670,91,620,206
750,DESDEMONA,23,726,25,216,105
751,OTHELLO,23,726,13,246,298
752,IAGO,23,805,71,748,206
753,DESDEMONA,23,900,31,316,105
754,OTHELLO,23,873,89,126,298
755,EMILIA,23,880,120,559,131
756,LODOVICO,23,887,134,168,243
757,LODOVICO,24,5,136,435,243
758,PERICLES,24,61,10,327,308
759,ANTIOCHUS,24,61,23,246,15
760,PERICLES,24,122,12,345,308
761,CLEON,24,169,2,706,79
762,GOWER,24,345,22,334,178
763,Second Fisherman,24,252,17,1007,369
764,PERICLES,24,218,51,749,308
765,SIMONIDES,24,317,3,432,355
766,SIMONIDES,24,317,36,707,355
767,SIMONIDES,24,373,5,546,355
768,GOWER,24,572,36,198,178
769,First Sailor,24,575,46,649,160
770,Second Gentleman,24,575,13,232,370
771,PERICLES,24,528,3,785,308
772,GOWER,24,757,4,361,178
773,MARINA,24,647,24,590,266
774,Bawd,24,688,28,191,53
775,CLEON,24,705,5,563,79
776,Second Gentleman,24,770,1,540,370
777,MARINA,24,788,45,685,266
778,BOULT,24,781,78,0,47
779,HELICANUS,24,847,22,686,192
780,PERICLES,24,812,48,575,308
781,HELICANUS,24,827,74,205,192
782,PERICLES,24,913,2,850,308
783,GOWER,24,904,30,799,178
784,HENRY BOLINGBROKE,25,65,13,589,193
785,HENRY BOLINGBROKE,25,27,27,639,193
786,DUKE OF AUMERLE,25,155,3,915,118
787,Lord Marshal,25,125,21,291,255
788,THOMAS MOWBRAY,25,137,35,535,388
789,HENRY BOLINGBROKE,25,147,57,174,193
790,JOHN OF GAUNT,25,217,2,760,214
791,JOHN OF GAUNT,25,207,16,769,214
792,KING RICHARD II,25,228,30,338,231
793,QUEEN,25,299,1,358,330
794,DUKE OF YORK,25,264,24,655,119
795,HENRY PERCY,25,332,12,794,194
796,DUKE OF YORK,25,315,35,516,119
797,HENRY BOLINGBROKE,25,426,3,816,193
798,KING RICHARD II,25,515,10,934,231
799,DUKE OF AUMERLE,25,471,23,71,118
800,HENRY BOLINGBROKE,25,543,12,520,193
801,KING RICHARD II,25,524,20,499,231
802,Gardener,25,562,13,197,184
803,BAGOT,25,618,3,438,28
804,BISHOP OF CARLISLE,25,605,29,938,43
805,KING RICHARD II,25,621,42,510,231
806,KING RICHARD II,25,631,58,844,231
807,KING RICHARD II,25,850,5,798,231
808,DUKE OF YORK,25,894,14,853,119
809,DUKE OF AUMERLE,25,917,5,879,118
810,DUCHESS OF YORK,25,906,37,384,116
811,KING RICHARD II,25,960,0,158,231
812,LORD FITZWATER,25,968,3,813,244
813,CLARENCE,26,53,5,113,76
814,GLOUCESTER,26,21,31,185,174
815,LADY ANNE,26,117,16,281,233
816,GLOUCESTER,26,84,63,267,174
817,GLOUCESTER,26,84,86,246,174
818,GLOUCESTER,26,163,31,641,174
819,QUEEN MARGARET,26,135,60,733,334
820,QUEEN MARGARET,26,146,86,482,334
821,CLARENCE,26,173,3,858,76
822,First Murderer,26,166,33,880,157
823,CLARENCE,26,172,75,47,76
824,BUCKINGHAM,26,243,12,989,51
825,KING EDWARD IV,26,212,31,939,221
826,DUCHESS OF YORK,26,307,27,741,116
827,First Citizen,26,325,14,913,148
828,QUEEN ELIZABETH,26,365,31,488,331
829,GLOUCESTER,26,445,25,381,174
830,BUCKINGHAM,26,407,73,883,51
831,CATESBY,26,508,25,271,70
832,BUCKINGHAM,26,566,4,901,51
833,HASTINGS,26,549,32,895,189
834,GLOUCESTER,26,582,21,927,174
835,GLOUCESTER,26,596,10,367,174
836,GLOUCESTER,26,594,28,146,174
837,Citizens,26,595,43,43,97
838,LADY ANNE,26,645,22,159,233
839,KING RICHARD III,26,691,25,815,232
840,TYRREL,26,711,2,422,397
841,QUEEN MARGARET,26,754,11,606,334
842,DUCHESS OF YORK,26,737,29,101,116
843,KING RICHARD III,26,744,67,236,232
